database,direction,pathway_id,pathway_name,significant_LFC0,significant_LFC05,significant_LFC1,n_thresholds_sig
KEGG,Down,hsa03250,Viral life cycle - HIV-1,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",FALSE,FALSE,FALSE,0
KEGG,Down,hsa03272,Virion - Hepatitis viruses,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03273,Virion - Lassa virus and SFTS virus,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03320,PPAR signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03410,Base excision repair,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03420,Nucleotide excision repair,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03430,Mismatch repair,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03440,Homologous recombination,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03450,Non-homologous end-joining,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03460,Fanconi anemia pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04010,MAPK signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04012,ErbB signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04014,Ras signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04015,Rap1 signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04020,Calcium signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04022,cGMP-PKG signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04024,cAMP signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04060,Cytokine-cytokine receptor interaction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04061,Viral protein interaction with cytokine and cytokine receptor,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04062,Chemokine signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04064,NF-kappa B signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04066,HIF-1 signaling pathway,TRUE,TRUE,FALSE,2
KEGG,Down,hsa04068,FoxO signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04070,Phosphatidylinositol signaling system,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04071,Sphingolipid signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04072,Phospholipase D signaling pathway,FALSE,FALSE,FALSE,0
